Breed,AgeInMonths,Size,Sterilized,Health,Temperament,GoodWithChildren,GoodWithOtherPets,PhotoCount,DescriptionLength,AdoptionSpeed
Golden Retriever,104,Tiny,Yes,Healthy,"Anxious, Calm, Aggressive",Yes,Yes,3,21,1
Husky,6,Large,Yes,Healthy,"Aggressive, Playful, Friendly",Yes,Yes,5,125,3
Beagle,4,Tiny,Yes,Healthy,"Calm, Playful, Friendly",Yes,Yes,5,496,4
Poodle,63,Small,No,Healthy,"Aggressive, Friendly, Anxious",Yes,Yes,1,237,1
Husky,44,Medium,No,Healthy,"Independent, Shy, Calm",Yes,Yes,1,221,2
Mixed,62,Large,No,Serious Injury,"Shy, Playful, Aggressive",Yes,Yes,3,289,0
Poodle,95,Tiny,Yes,Healthy,"Calm, Affectionate, Playful",No,Yes,5,234,2
German Shepherd,62,Large,No,Healthy,"Playful, Independent, Friendly",Yes,Yes,4,227,3
German Shepherd,109,Medium,Yes,Minor Injury,"Calm, Affectionate, Anxious",Yes,Yes,1,386,2
Bulldog,53,Medium,No,Healthy,"Playful, Affectionate, Independent",Yes,Yes,1,236,2
Labrador,60,Medium,Yes,Healthy,"Friendly, Shy, Independent",Yes,Yes,3,60,3
Husky,29,Tiny,Yes,Healthy,"Calm, Friendly, Playful",No,Yes,4,84,2
German Shepherd,89,Large,Yes,Healthy,"Independent, Anxious, Playful",No,Yes,0,363,2
Bulldog,1,Tiny,No,Minor Injury,"Anxious, Friendly, Independent",Yes,No,3,155,3
German Shepherd,88,Small,No,Healthy,"Independent, Anxious, Aggressive",No,No,2,100,0
Bulldog,8,Medium,Yes,Minor Injury,"Shy, Aggressive, Playful",No,Yes,2,438,2
Australian Shepherd,33,Medium,No,Minor Injury,"Aggressive, Shy, Playful",Yes,Yes,2,280,1
Mixed,106,Tiny,No,Healthy,"Anxious, Independent, Friendly",Yes,Yes,1,60,1
Mixed,28,Small,No,Healthy,"Anxious, Calm, Independent",Yes,Yes,0,347,3
Husky,12,Tiny,No,Minor Injury,"Aggressive, Calm, Playful",Yes,Yes,1,52,1
Husky,48,Small,No,Healthy,"Independent, Friendly, Calm",Yes,Yes,5,235,3
Mixed,37,XL,No,Healthy,"Independent, Aggressive, Affectionate",Yes,Yes,2,191,1
Golden Retriever,104,Large,Yes,Healthy,"Friendly, Aggressive, Affectionate",No,Yes,5,494,1
Bulldog,35,Large,No,Healthy,"Affectionate, Independent, Shy",Yes,No,0,246,1
German Shepherd,101,Tiny,No,Healthy,"Independent, Playful, Shy",Yes,Yes,5,150,2
Bulldog,1,Small,Yes,Healthy,"Affectionate, Friendly, Playful",Yes,No,4,237,3
Bulldog,119,Large,No,Healthy,"Calm, Independent, Anxious",Yes,No,5,378,2
Poodle,27,Large,Yes,Healthy,"Affectionate, Playful, Friendly",Yes,No,0,226,1
Australian Shepherd,15,Small,No,Healthy,"Independent, Anxious, Aggressive",Yes,Yes,1,61,1
Husky,77,Large,No,Minor Injury,"Affectionate, Aggressive, Calm",Yes,No,2,82,0
Mixed,96,XL,No,Healthy,"Friendly, Aggressive, Playful",Yes,Yes,0,71,1
Beagle,96,Medium,Yes,Healthy,"Aggressive, Affectionate, Independent",Yes,Yes,3,241,2
Golden Retriever,101,Large,No,Healthy,"Anxious, Playful, Shy",No,Yes,4,162,1
Labrador,43,XL,No,Healthy,"Independent, Calm, Aggressive",No,No,4,55,1
Golden Retriever,13,XL,Yes,Healthy,"Friendly, Aggressive, Anxious",Yes,Yes,2,262,1
Golden Retriever,86,Small,No,Serious Injury,"Playful, Aggressive, Friendly",Yes,Yes,3,85,0
Golden Retriever,42,Small,No,Healthy,"Friendly, Aggressive, Calm",Yes,Yes,4,81,2
Golden Retriever,57,Medium,No,Healthy,"Shy, Aggressive, Playful",Yes,Yes,4,153,2
Beagle,28,Small,Yes,Minor Injury,"Playful, Anxious, Affectionate",No,Yes,3,127,2
Labrador,44,XL,Yes,Healthy,"Affectionate, Independent, Playful",Yes,Yes,3,305,4
Mixed,62,Medium,Yes,Healthy,"Shy, Anxious, Affectionate",No,Yes,2,147,1
Labrador,119,Medium,No,Healthy,"Aggressive, Playful, Friendly",Yes,Yes,3,492,2
Poodle,103,Medium,Yes,Minor Injury,"Playful, Calm, Friendly",Yes,Yes,5,244,2
Husky,1,Medium,Yes,Minor Injury,"Affectionate, Playful, Aggressive",No,Yes,0,302,2
Australian Shepherd,62,Small,No,Healthy,"Friendly, Affectionate, Anxious",Yes,Yes,0,135,2
Mixed,77,Medium,Yes,Minor Injury,"Shy, Calm, Aggressive",Yes,Yes,0,278,1
Golden Retriever,103,Medium,Yes,Healthy,"Independent, Shy, Aggressive",Yes,No,5,475,1
Beagle,27,Medium,No,Healthy,"Aggressive, Playful, Shy",Yes,Yes,0,337,2
Bulldog,37,Large,No,Healthy,"Playful, Affectionate, Calm",Yes,Yes,0,326,3
Mixed,106,XL,No,Healthy,"Independent, Aggressive, Affectionate",Yes,Yes,3,171,1
Australian Shepherd,79,Medium,No,Healthy,"Shy, Independent, Affectionate",Yes,Yes,2,393,3
German Shepherd,32,Small,Yes,Minor Injury,"Friendly, Independent, Affectionate",No,Yes,0,199,1
Mixed,113,Tiny,Yes,Healthy,"Independent, Shy, Calm",Yes,Yes,5,461,3
Mixed,52,Tiny,Yes,Healthy,"Calm, Independent, Aggressive",Yes,Yes,3,314,3
Mixed,2,Large,No,Healthy,"Calm, Playful, Affectionate",No,Yes,2,132,2
Poodle,101,Large,No,Healthy,"Playful, Shy, Anxious",No,No,0,459,1
Poodle,81,Small,Yes,Healthy,"Anxious, Friendly, Affectionate",Yes,Yes,2,132,2
Husky,2,Large,No,Serious Injury,"Friendly, Anxious, Affectionate",No,Yes,1,239,0
Labrador,54,XL,Yes,Serious Injury,"Aggressive, Independent, Shy",Yes,Yes,4,243,0
Bulldog,97,Small,Yes,Healthy,"Anxious, Aggressive, Independent",Yes,Yes,0,422,1
Bulldog,2,Medium,No,Minor Injury,"Affectionate, Playful, Independent",Yes,Yes,4,191,4
Bulldog,90,Large,Yes,Healthy,"Calm, Affectionate, Shy",Yes,Yes,5,435,4
Mixed,119,XL,No,Healthy,"Affectionate, Independent, Calm",Yes,No,3,458,2
Husky,75,XL,No,Healthy,"Playful, Aggressive, Independent",Yes,Yes,2,420,2
Poodle,38,Small,Yes,Serious Injury,"Friendly, Affectionate, Playful",Yes,Yes,4,391,2
Husky,98,Large,No,Healthy,"Anxious, Independent, Aggressive",No,Yes,5,489,1
Golden Retriever,11,Medium,No,Healthy,"Calm, Affectionate, Aggressive",Yes,Yes,0,220,2
Golden Retriever,59,XL,Yes,Healthy,"Independent, Calm, Anxious",Yes,No,5,483,3
Husky,93,Tiny,No,Healthy,"Aggressive, Friendly, Calm",Yes,Yes,2,167,1
Australian Shepherd,59,Tiny,Yes,Healthy,"Calm, Affectionate, Aggressive",No,Yes,3,422,2
Labrador,90,XL,Yes,Minor Injury,"Friendly, Affectionate, Playful",Yes,Yes,2,166,2
Poodle,20,Large,Yes,Healthy,"Calm, Aggressive, Independent",Yes,Yes,3,436,3
Golden Retriever,40,Large,No,Healthy,"Calm, Aggressive, Shy",No,Yes,1,379,1
German Shepherd,1,Tiny,No,Minor Injury,"Anxious, Calm, Friendly",Yes,Yes,2,495,4
Mixed,57,XL,No,Minor Injury,"Affectionate, Friendly, Aggressive",Yes,Yes,0,453,2
Husky,23,Large,No,Serious Injury,"Aggressive, Independent, Shy",Yes,Yes,5,317,1
Golden Retriever,99,Tiny,No,Minor Injury,"Anxious, Aggressive, Independent",Yes,Yes,3,163,1
German Shepherd,90,Large,Yes,Healthy,"Independent, Anxious, Playful",No,Yes,0,79,1
Husky,113,Large,Yes,Minor Injury,"Anxious, Affectionate, Independent",No,Yes,1,404,1
Mixed,48,Medium,No,Healthy,"Independent, Anxious, Affectionate",No,Yes,5,159,2
Beagle,69,Large,Yes,Healthy,"Aggressive, Independent, Anxious",No,No,4,179,1
Poodle,119,Large,Yes,Minor Injury,"Shy, Aggressive, Affectionate",Yes,No,0,252,0
Labrador,99,Medium,Yes,Healthy,"Independent, Aggressive, Shy",Yes,Yes,2,323,1
German Shepherd,80,Small,Yes,Healthy,"Anxious, Friendly, Independent",Yes,No,2,423,2
German Shepherd,24,Small,No,Healthy,"Affectionate, Calm, Independent",Yes,No,5,139,2
Mixed,33,XL,Yes,Healthy,"Independent, Friendly, Calm",Yes,Yes,3,94,3
Mixed,113,Large,No,Healthy,"Anxious, Affectionate, Aggressive",Yes,Yes,3,441,2
Beagle,104,XL,No,Serious Injury,"Friendly, Playful, Independent",Yes,Yes,3,273,0
Labrador,99,XL,No,Minor Injury,"Friendly, Anxious, Shy",Yes,Yes,5,492,3
Bulldog,99,XL,No,Healthy,"Calm, Independent, Playful",No,Yes,0,368,1
Mixed,18,Large,Yes,Healthy,"Calm, Playful, Affectionate",Yes,Yes,5,357,4
Bulldog,66,Small,No,Healthy,"Friendly, Anxious, Shy",Yes,No,5,182,2
Australian Shepherd,80,Medium,No,Minor Injury,"Affectionate, Playful, Shy",Yes,Yes,4,188,3
Golden Retriever,100,XL,No,Healthy,"Anxious, Playful, Calm",Yes,Yes,0,87,1
Mixed,33,XL,No,Minor Injury,"Independent, Playful, Affectionate",Yes,Yes,5,296,3
Husky,48,Medium,Yes,Healthy,"Affectionate, Independent, Calm",Yes,Yes,3,403,4
Labrador,8,Tiny,No,Serious Injury,"Shy, Playful, Affectionate",No,Yes,2,420,1
Australian Shepherd,33,Medium,No,Healthy,"Calm, Aggressive, Independent",Yes,Yes,3,462,3
Golden Retriever,115,Medium,Yes,Healthy,"Aggressive, Affectionate, Anxious",No,No,5,394,1
Poodle,22,Medium,No,Healthy,"Friendly, Shy, Playful",No,No,5,177,2
Poodle,38,Small,Yes,Healthy,"Independent, Shy, Anxious",Yes,Yes,5,384,4
Husky,51,Small,Yes,Minor Injury,"Aggressive, Calm, Shy",Yes,Yes,5,283,2
Mixed,27,Small,Yes,Healthy,"Calm, Playful, Independent",No,Yes,2,245,1
Beagle,21,Small,No,Healthy,"Friendly, Playful, Shy",Yes,Yes,5,116,3
Poodle,28,Large,No,Minor Injury,"Shy, Aggressive, Friendly",Yes,Yes,0,472,2
Husky,61,Medium,No,Healthy,"Playful, Affectionate, Aggressive",No,Yes,2,23,0
Poodle,35,Large,No,Healthy,"Shy, Calm, Friendly",Yes,Yes,0,36,2
Husky,44,Medium,No,Serious Injury,"Friendly, Aggressive, Affectionate",Yes,Yes,3,177,0
Poodle,93,XL,Yes,Healthy,"Aggressive, Affectionate, Calm",No,Yes,5,392,2
Poodle,6,Medium,No,Healthy,"Friendly, Calm, Shy",Yes,Yes,2,399,4
Poodle,105,Tiny,Yes,Healthy,"Independent, Anxious, Shy",Yes,Yes,4,299,2
Husky,93,XL,No,Healthy,"Anxious, Calm, Independent",No,Yes,0,321,2
Labrador,53,Medium,No,Healthy,"Aggressive, Shy, Independent",Yes,No,2,207,0
Beagle,97,XL,No,Healthy,"Friendly, Affectionate, Shy",No,No,3,210,1
Husky,85,Tiny,No,Healthy,"Friendly, Independent, Calm",No,Yes,0,275,1
German Shepherd,67,Small,No,Healthy,"Playful, Affectionate, Independent",Yes,Yes,1,300,2
Australian Shepherd,106,Medium,Yes,Healthy,"Independent, Anxious, Friendly",Yes,No,5,77,1
German Shepherd,67,Small,Yes,Healthy,"Friendly, Aggressive, Independent",Yes,Yes,5,299,2
Golden Retriever,114,Medium,Yes,Minor Injury,"Shy, Calm, Aggressive",Yes,Yes,5,170,1
Australian Shepherd,66,XL,No,Healthy,"Anxious, Friendly, Playful",Yes,Yes,2,405,3
Bulldog,90,Small,No,Healthy,"Shy, Playful, Aggressive",Yes,Yes,0,123,1
Golden Retriever,33,XL,Yes,Healthy,"Independent, Playful, Aggressive",No,Yes,0,318,1
Labrador,118,Large,Yes,Minor Injury,"Anxious, Friendly, Aggressive",Yes,Yes,4,189,1
Poodle,119,Large,Yes,Serious Injury,"Calm, Anxious, Friendly",Yes,Yes,1,374,0
Beagle,50,Tiny,No,Minor Injury,"Aggressive, Affectionate, Friendly",Yes,Yes,0,427,2
Mixed,13,Medium,Yes,Healthy,"Calm, Playful, Friendly",Yes,Yes,3,410,4
Bulldog,57,Medium,No,Minor Injury,"Calm, Shy, Playful",Yes,Yes,3,192,3
German Shepherd,20,Tiny,Yes,Serious Injury,"Affectionate, Aggressive, Friendly",Yes,Yes,0,283,0
Beagle,110,Medium,Yes,Healthy,"Affectionate, Aggressive, Independent",Yes,Yes,5,479,2
Labrador,115,Medium,Yes,Healthy,"Affectionate, Playful, Anxious",Yes,Yes,3,373,3
Poodle,66,XL,No,Healthy,"Playful, Aggressive, Friendly",Yes,Yes,5,70,2
Australian Shepherd,25,XL,Yes,Serious Injury,"Affectionate, Playful, Calm",No,Yes,1,82,0
German Shepherd,62,Tiny,Yes,Minor Injury,"Affectionate, Friendly, Anxious",Yes,Yes,4,169,3
Mixed,58,Large,No,Minor Injury,"Playful, Anxious, Independent",Yes,Yes,1,361,3
Poodle,49,XL,No,Healthy,"Calm, Affectionate, Playful",Yes,Yes,3,189,3
Beagle,70,Medium,No,Healthy,"Shy, Calm, Friendly",Yes,No,5,463,3
German Shepherd,101,XL,Yes,Healthy,"Anxious, Friendly, Calm",Yes,Yes,0,283,1
Bulldog,53,Medium,No,Healthy,"Calm, Shy, Playful",Yes,No,3,127,2
Husky,5,XL,Yes,Healthy,"Calm, Friendly, Aggressive",Yes,Yes,3,281,3
German Shepherd,109,Large,Yes,Healthy,"Aggressive, Affectionate, Friendly",Yes,Yes,3,369,2
Australian Shepherd,47,Small,Yes,Healthy,"Affectionate, Anxious, Shy",Yes,No,2,330,2
Australian Shepherd,40,Large,No,Minor Injury,"Anxious, Shy, Affectionate",No,Yes,3,163,2
Mixed,13,Tiny,No,Minor Injury,"Shy, Independent, Friendly",No,Yes,1,143,1
German Shepherd,106,Medium,No,Serious Injury,"Calm, Anxious, Aggressive",Yes,No,5,166,0
Australian Shepherd,17,Medium,Yes,Healthy,"Anxious, Friendly, Calm",Yes,No,2,111,1
Beagle,58,Small,Yes,Healthy,"Shy, Anxious, Independent",Yes,No,1,248,1
German Shepherd,90,Tiny,No,Serious Injury,"Affectionate, Independent, Shy",Yes,Yes,4,337,2
Labrador,23,Tiny,Yes,Healthy,"Calm, Friendly, Independent",Yes,Yes,0,415,3
Mixed,117,Small,No,Healthy,"Aggressive, Affectionate, Independent",Yes,Yes,0,77,0
Poodle,1,Large,Yes,Healthy,"Aggressive, Independent, Shy",Yes,Yes,1,115,2
Beagle,118,Small,No,Healthy,"Shy, Friendly, Calm",Yes,Yes,0,256,1
Husky,117,XL,Yes,Healthy,"Affectionate, Playful, Independent",Yes,Yes,0,291,1
Labrador,61,Medium,Yes,Healthy,"Shy, Anxious, Friendly",Yes,Yes,4,297,3
Labrador,93,Medium,No,Minor Injury,"Calm, Anxious, Independent",Yes,Yes,2,95,2
German Shepherd,26,Small,Yes,Minor Injury,"Affectionate, Playful, Calm",Yes,No,2,105,1
Labrador,57,Medium,No,Healthy,"Affectionate, Calm, Playful",Yes,Yes,4,481,4
Beagle,92,Tiny,No,Healthy,"Independent, Aggressive, Anxious",Yes,No,4,66,1
Golden Retriever,113,Medium,Yes,Healthy,"Affectionate, Calm, Friendly",Yes,Yes,5,257,2
Golden Retriever,62,Tiny,No,Healthy,"Calm, Friendly, Affectionate",Yes,Yes,3,472,4
Mixed,76,Medium,No,Healthy,"Anxious, Shy, Independent",Yes,Yes,1,493,3
Beagle,48,XL,No,Healthy,"Playful, Affectionate, Independent",Yes,Yes,4,58,3
German Shepherd,100,Tiny,Yes,Minor Injury,"Affectionate, Playful, Shy",Yes,No,0,273,0
Beagle,94,Medium,No,Serious Injury,"Playful, Friendly, Shy",Yes,No,4,42,0
Beagle,10,Large,Yes,Healthy,"Independent, Aggressive, Calm",Yes,Yes,5,344,4
Poodle,100,Tiny,Yes,Healthy,"Anxious, Friendly, Playful",Yes,Yes,1,199,1
Australian Shepherd,95,Small,No,Healthy,"Affectionate, Shy, Playful",Yes,Yes,1,269,2
German Shepherd,19,Large,Yes,Minor Injury,"Independent, Affectionate, Calm",Yes,Yes,1,115,2
Mixed,1,Medium,Yes,Minor Injury,"Calm, Anxious, Affectionate",Yes,Yes,4,23,4
Bulldog,16,Small,Yes,Minor Injury,"Playful, Calm, Friendly",Yes,Yes,1,495,3
Husky,32,Small,Yes,Healthy,"Anxious, Independent, Affectionate",Yes,Yes,2,359,3
Golden Retriever,24,XL,Yes,Healthy,"Independent, Affectionate, Playful",Yes,Yes,3,197,3
Beagle,35,Small,Yes,Minor Injury,"Calm, Aggressive, Friendly",No,Yes,3,52,1
Poodle,33,XL,Yes,Healthy,"Calm, Affectionate, Independent",Yes,No,4,198,2
Husky,43,Medium,Yes,Healthy,"Friendly, Shy, Independent",Yes,Yes,4,287,3
Husky,67,Small,Yes,Healthy,"Independent, Anxious, Friendly",Yes,No,0,436,2
Poodle,40,Tiny,No,Healthy,"Anxious, Friendly, Independent",Yes,No,1,62,1
Husky,44,Medium,No,Healthy,"Anxious, Calm, Aggressive",Yes,Yes,4,416,3
Australian Shepherd,12,Large,No,Healthy,"Independent, Friendly, Shy",Yes,Yes,5,405,4
Beagle,115,Large,Yes,Minor Injury,"Shy, Calm, Affectionate",Yes,Yes,1,54,1
Bulldog,87,Small,Yes,Healthy,"Anxious, Affectionate, Friendly",Yes,No,0,109,1
German Shepherd,8,Medium,No,Healthy,"Calm, Aggressive, Friendly",Yes,No,4,429,3
Australian Shepherd,74,Tiny,Yes,Serious Injury,"Affectionate, Shy, Anxious",Yes,Yes,1,437,1
Mixed,115,Large,No,Healthy,"Playful, Anxious, Affectionate",Yes,No,0,410,1
Beagle,68,Large,No,Healthy,"Playful, Friendly, Anxious",Yes,Yes,1,133,2
Poodle,109,Large,No,Minor Injury,"Friendly, Anxious, Affectionate",Yes,Yes,2,432,2
Poodle,36,Large,No,Minor Injury,"Independent, Friendly, Calm",Yes,Yes,0,296,2
Husky,36,Large,Yes,Healthy,"Calm, Independent, Affectionate",No,Yes,1,376,2
German Shepherd,73,XL,Yes,Healthy,"Independent, Shy, Aggressive",No,Yes,2,196,0
Mixed,99,XL,No,Healthy,"Affectionate, Independent, Friendly",Yes,No,3,485,2
Beagle,113,Medium,Yes,Serious Injury,"Friendly, Anxious, Independent",No,Yes,5,243,0
Australian Shepherd,37,Medium,Yes,Minor Injury,"Affectionate, Shy, Friendly",Yes,Yes,3,388,4
Golden Retriever,55,Small,Yes,Healthy,"Shy, Affectionate, Playful",Yes,Yes,4,298,3
Golden Retriever,89,Small,No,Healthy,"Affectionate, Anxious, Independent",Yes,Yes,2,380,3
Husky,30,Small,No,Serious Injury,"Affectionate, Friendly, Aggressive",Yes,Yes,0,388,0
Husky,62,Medium,No,Healthy,"Friendly, Affectionate, Aggressive",Yes,Yes,3,387,3
Husky,89,Medium,Yes,Serious Injury,"Friendly, Anxious, Calm",Yes,Yes,5,416,2
Australian Shepherd,59,Medium,No,Healthy,"Friendly, Calm, Playful",Yes,Yes,2,196,2
Golden Retriever,100,Medium,Yes,Healthy,"Friendly, Independent, Playful",Yes,Yes,3,464,3
Mixed,105,Large,Yes,Healthy,"Friendly, Affectionate, Independent",Yes,Yes,2,95,1
Bulldog,9,Small,Yes,Healthy,"Aggressive, Independent, Shy",Yes,Yes,3,225,3
Australian Shepherd,95,Tiny,Yes,Healthy,"Calm, Aggressive, Independent",No,No,3,358,2
Australian Shepherd,111,Small,No,Healthy,"Playful, Anxious, Affectionate",Yes,Yes,4,88,2
Labrador,99,Small,No,Minor Injury,"Calm, Playful, Aggressive",Yes,Yes,3,44,1
Mixed,52,Tiny,Yes,Healthy,"Shy, Calm, Anxious",Yes,Yes,2,488,3
Husky,100,Large,Yes,Minor Injury,"Affectionate, Calm, Shy",No,Yes,4,170,1
Australian Shepherd,16,Medium,Yes,Healthy,"Independent, Anxious, Calm",Yes,No,0,58,1
German Shepherd,109,XL,No,Minor Injury,"Independent, Playful, Aggressive",Yes,Yes,4,61,1
German Shepherd,58,Large,No,Serious Injury,"Playful, Calm, Aggressive",Yes,No,5,242,0
Beagle,5,Medium,Yes,Healthy,"Independent, Affectionate, Shy",Yes,Yes,2,234,3
Mixed,93,Small,No,Healthy,"Friendly, Independent, Playful",Yes,No,2,350,2
Beagle,18,XL,Yes,Healthy,"Calm, Aggressive, Shy",Yes,No,3,28,1
Beagle,74,Large,No,Minor Injury,"Aggressive, Anxious, Shy",Yes,Yes,1,420,2
Poodle,102,XL,No,Healthy,"Independent, Playful, Friendly",Yes,No,5,160,1
Husky,40,Small,Yes,Healthy,"Affectionate, Playful, Independent",Yes,Yes,1,412,3
Poodle,50,XL,No,Minor Injury,"Affectionate, Shy, Friendly",Yes,Yes,2,141,2
Husky,66,Large,No,Minor Injury,"Anxious, Calm, Playful",Yes,Yes,4,48,3
Labrador,37,Large,No,Minor Injury,"Playful, Affectionate, Aggressive",Yes,Yes,5,358,3
German Shepherd,8,Large,No,Serious Injury,"Anxious, Aggressive, Affectionate",Yes,Yes,4,340,2
Husky,86,Small,No,Healthy,"Anxious, Friendly, Shy",Yes,Yes,3,164,3
Labrador,71,Tiny,No,Healthy,"Anxious, Friendly, Aggressive",No,Yes,0,320,1
Beagle,4,Small,No,Healthy,"Shy, Playful, Independent",Yes,No,3,89,3
Labrador,31,Small,Yes,Healthy,"Playful, Aggressive, Friendly",Yes,No,2,464,1
Bulldog,108,Tiny,No,Healthy,"Aggressive, Anxious, Playful",Yes,No,5,186,0
Bulldog,91,XL,No,Healthy,"Independent, Shy, Calm",No,No,1,365,2
Husky,19,Small,No,Healthy,"Playful, Friendly, Anxious",No,No,5,470,3
Golden Retriever,45,XL,No,Healthy,"Independent, Affectionate, Anxious",Yes,Yes,4,261,3
Golden Retriever,92,Large,Yes,Healthy,"Calm, Anxious, Friendly",Yes,No,5,77,2
Mixed,20,Small,No,Serious Injury,"Anxious, Aggressive, Friendly",Yes,Yes,3,475,1
Mixed,61,Small,No,Healthy,"Affectionate, Anxious, Calm",Yes,Yes,0,442,3
Bulldog,1,Tiny,No,Healthy,"Playful, Anxious, Affectionate",Yes,No,2,480,3
Husky,92,Small,No,Healthy,"Independent, Calm, Playful",Yes,Yes,5,210,3
Poodle,113,Large,Yes,Healthy,"Aggressive, Affectionate, Shy",Yes,No,0,331,0
Golden Retriever,33,Large,No,Healthy,"Independent, Friendly, Aggressive",Yes,No,5,136,1
Australian Shepherd,6,Medium,Yes,Healthy,"Anxious, Playful, Friendly",No,Yes,1,63,2
Labrador,45,Medium,No,Healthy,"Aggressive, Calm, Shy",Yes,No,4,336,2
Australian Shepherd,47,XL,No,Healthy,"Affectionate, Independent, Anxious",Yes,Yes,4,99,3
Beagle,118,Small,Yes,Minor Injury,"Affectionate, Shy, Friendly",No,No,4,222,1
Husky,101,Tiny,Yes,Serious Injury,"Playful, Anxious, Affectionate",Yes,No,3,246,0
Bulldog,19,Tiny,Yes,Healthy,"Affectionate, Calm, Playful",Yes,Yes,3,460,4
Australian Shepherd,18,Large,Yes,Healthy,"Anxious, Playful, Affectionate",Yes,Yes,0,324,3
Mixed,14,Tiny,No,Minor Injury,"Calm, Playful, Anxious",Yes,Yes,0,392,3
Husky,54,Medium,No,Healthy,"Anxious, Playful, Calm",No,Yes,5,278,2
Bulldog,16,Small,No,Healthy,"Shy, Independent, Anxious",Yes,Yes,0,478,3
Golden Retriever,12,Large,No,Healthy,"Playful, Independent, Shy",Yes,No,1,243,1
Beagle,16,XL,Yes,Minor Injury,"Playful, Shy, Anxious",No,Yes,5,479,3
Australian Shepherd,24,Medium,Yes,Serious Injury,"Friendly, Affectionate, Anxious",Yes,Yes,3,392,2
Beagle,8,Tiny,Yes,Healthy,"Anxious, Playful, Calm",Yes,Yes,1,367,4
Golden Retriever,36,XL,No,Healthy,"Calm, Anxious, Independent",Yes,Yes,1,155,2
Beagle,58,Tiny,Yes,Healthy,"Shy, Calm, Friendly",Yes,No,3,197,2
Golden Retriever,28,Medium,Yes,Healthy,"Affectionate, Aggressive, Shy",Yes,No,3,376,2
Golden Retriever,41,Small,No,Healthy,"Friendly, Anxious, Shy",Yes,Yes,3,211,3
German Shepherd,27,Large,Yes,Minor Injury,"Independent, Calm, Playful",Yes,No,5,466,3
Australian Shepherd,17,Medium,No,Healthy,"Shy, Affectionate, Aggressive",Yes,Yes,0,436,2
Golden Retriever,117,Tiny,Yes,Healthy,"Shy, Friendly, Anxious",Yes,No,3,480,2
Labrador,92,Medium,No,Healthy,"Shy, Independent, Friendly",No,No,4,416,3
Husky,46,Small,No,Healthy,"Friendly, Calm, Anxious",Yes,Yes,2,272,2
Golden Retriever,6,Medium,No,Healthy,"Shy, Calm, Anxious",No,Yes,1,390,3
Australian Shepherd,69,XL,Yes,Healthy,"Calm, Affectionate, Playful",No,Yes,0,469,2
Golden Retriever,10,Medium,No,Healthy,"Calm, Affectionate, Anxious",Yes,Yes,5,261,4
Australian Shepherd,109,Medium,Yes,Serious Injury,"Independent, Calm, Affectionate",Yes,Yes,4,138,0
